Query,AutocompletePacketSize,NumSearchResults
blocker,295,0
blockers,299,294000000
s,310,0
so,304,0
som,332,0
some,403,0
someb,377,0
somebo,398,0
somebod,399,0
somebody,400,899000000
t,271,0
th,302,0
thi,317,0
thir,300,0
thirt,313,0
thirti,323,0
thirtie,324,0
thirties,291,49000000
s,310,0
so,304,0
sol,296,0
sold,289,0
soldi,339,0
soldie,340,0
soldier,341,0
soldiers,365,736000000
c,265,0
co,237,0
cor,291,0
corn,293,0
corne,261,0
corner,318,0
cornere,322,0
cornered,326,60300000
w,284,0
we,329,0
wei,333,0
weig,361,0
weigh,362,0
weight,363,0
weighte,384,0
weighted,385,543000000
c,265,0
co,237,0
cou,287,0
coun,327,0
count,318,0
counti,350,0
countin,340,0
counting,341,3100000000
t,271,0
th,302,0
tho,314,0
thou,326,0
thoug,351,0
though,322,0
thought,376,0
thoughts,336,2990000000
c,265,0
co,237,0
cou,287,0
coun,327,0
count,318,0
counte,331,0
counter,347,0
counters,321,1510000000
t,271,0
th,302,0
thi,317,0
thin,316,0
thinn,321,0
thinne,312,0
thinner,307,0
thinners,335,290000000
t,271,0
th,302,0
thi,317,0
thin,316,0
thinn,321,0
thinni,336,0
thinnin,337,0
thinning,338,171000000
c,265,0
co,237,0
cou,287,0
cour,231,0
cours,346,0
coursi,318,0
coursin,308,0
coursing,329,10500000
t,271,0
th,302,0
thi,317,0
thin,316,0
thinn,321,0
thinne,312,0
thinnes,321,0
thinnest,331,243000000
c,265,0
cr,298,0
cra,336,0
craz,314,0
crazi,294,0
crazie,330,0
crazies,322,0
craziest,335,156000000
s,310,0
sn,267,0
sna,268,0
snap,305,0
snapp,294,0
snappi,372,0
snappin,373,0
snapping,374,95100000
c,265,0
cr,298,0
cre,325,0
crea,327,0
creat,331,0
creati,343,0
creatin,356,0
creating,357,6150000000
t,271,0
th,302,0
thi,317,0
thic,295,0
thick,308,0
thicke,351,0
thickes,352,0
thickest,353,42200000
s,310,0
sm,311,0
smo,331,0
smok,323,0
smoki,306,0
smokin,307,0
smoking,326,0
smokings,275,2400000
c,265,0
cr,298,0
cro,283,0
crow,304,0
crowd,308,0
crowdi,352,0
crowdin,346,0
crowding,355,74800000
s,310,0
sm,311,0
sme,299,0
smel,304,0
smell,324,0
smelli,342,0
smellin,350,0
smelling,351,426000000
s,310,0
sm,311,0
sma,295,0
smal,318,0
small,319,0
smalle,369,0
smalles,370,0
smallest,381,529000000
c,265,0
cu,314,0
cut,284,0
cutt,307,0
cutti,322,0
cuttin,361,0
cutting,369,0
cuttings,322,1370000000
s,310,0
sl,272,0
sli,260,0
slip,322,0
slipp,343,0
slippi,352,0
slippin,365,0
slipping,367,622000000
s,310,0
sl,272,0
sli,260,0
slig,302,0
sligh,335,0
slight,336,0
slightl,359,0
slightly,360,1800000000
d,294,0
da,318,0
dan,323,0
danc,331,0
danci,374,0
dancin,375,0
dancing,348,0
dancings,350,915000
s,310,0
sl,272,0
sle,300,0
slee,310,0
sleep,315,0
sleepe,334,0
sleeper,302,0
sleepers,316,143000000
s,310,0
sl,272,0
sle,300,0
slee,314,0
sleep,311,0
sleepi,343,0
sleepin,344,0
sleeping,345,1950000000
s,310,0
sl,272,0
sla,267,0
slam,306,0
slamm,336,0
slammi,337,0
slammin,338,0
slamming,344,149000000
w,284,0
wo,288,0
wor,289,0
word,317,0
wordi,310,0
wordin,337,0
wording,350,0
wordings,353,290000000
d,294,0
da,318,0
dar,293,0
dark,283,0
darkn,341,0
darkne,342,0
darknes,358,0
darkness,359,995000000
b,298,0
bo,299,0
boa,305,0
boat,325,0
boati,324,0
boatin,325,0
boating,326,0
boatings,318,86200
s,310,0
sk,271,0
ski,276,0
skin,307,0
skinn,288,0
skinni,339,0
skinnin,341,0
skinning,342,18100000
w,284,0
we,329,0
wed,336,0
wedd,343,0
weddi,344,0
weddin,345,0
wedding,346,0
weddings,306,1030000000
t,271,0
th,302,0
tha,319,0
than,324,0
thank,345,0
thanki,400,0
thankin,388,0
thanking,401,154000000
s,310,0
si,288,0
sit,273,0
sitt,322,0
sitti,327,0
sittin,339,0
sitting,340,0
sittings,302,1770000000
d,294,0
de,312,0
dec,326,0
deci,286,0
decid,286,0
decidi,290,0
decidin,350,0
deciding,351,1980000000
d,294,0
de,312,0
dec,326,0
deci,286,0
decid,286,0
decide,297,0
decider,318,0
deciders,315,652000
s,310,0
si,288,0
sin,298,0
sing,290,0
singl,310,0
singli,273,0
singlin,304,0
singling,305,47300000
s,310,0
si,288,0
sin,298,0
sing,290,0
singi,332,0
singin,333,0
singing,334,0
singings,323,310000
d,294,0
de,312,0
des,299,0
desp,329,0
despi,326,0
despit,337,0
despite,338,0
despites,315,185000
s,310,0
si,288,0
sim,269,0
simp,300,0
simpl,324,0
simple,333,0
simples,341,0
simplest,393,559000000
t,271,0
te,304,0
ter,313,0
terr,348,0
terri,327,0
terrib,336,0
terribl,337,0
terrible,350,432000000
s,310,0
si,288,0
sil,296,0
silv,329,0
silve,330,0
silver,361,0
silvere,327,0
silvered,317,8080000
t,271,0
te,304,0
tel,291,0
tell,317,0
telli,342,0
tellin,358,0
telling,376,0
tellings,323,828000
w,284,0
we,329,0
wea,341,0
wear,270,0
weari,305,0
wearin,315,0
wearing,324,0
wearings,329,3590000
y,287,0
yo,301,0
you,302,0
youn,323,0
young,324,0
younge,351,0
younges,394,0
youngest,395,252000000
s,310,0
si,288,0
sil,296,0
sile,322,0
silen,324,0
silenc,344,0
silence,345,0
silences,332,22800000
t,271,0
te,304,0
tea,311,0
teac,346,0
teach,363,0
teache,388,0
teacher,365,0
teachers,380,2730000000
b,298,0
bo,299,0
boo,267,0
book,250,0
booki,361,0
bookin,380,0
booking,381,0
bookings,355,1050000000
a,305,0
ag,281,0
agr,330,0
agre,304,0
agree,315,0
agreei,299,0
agreein,300,0
agreeing,301,468000000
a,305,0
at,281,0
att,316,0
atta,360,0
attac,357,0
attack,391,0
attacke,298,0
attacked,337,1830000000
b,298,0
bo,299,0
bot,293,0
both,298,0
bothe,297,0
bother,302,0
bothere,332,0
bothered,333,308000000
s,310,0
sw,282,0
swi,273,0
swin,262,0
swing,295,0
swinge,266,0
swinger,242,0
swingers,181,159000000
b,298,0
bo,299,0
bot,293,0
bott,327,0
bottl,307,0
bottli,354,0
bottlin,355,0
bottling,356,169000000
s,310,0
si,288,0
sil,296,0
sile,323,0
silen,324,0
silenc,344,0
silence,345,0
silenced,312,212000000
s,310,0
si,288,0
sig,326,0
sign,330,0
signi,358,0
signin,347,0
signing,360,0
signings,289,47300000
b,298,0
bo,299,0
bot,293,0
bott,327,0
botto,340,0
bottom,341,0
bottome,297,0
bottomed,329,30900000
s,310,0
sh,281,0
shu,303,0
shut,335,0
shutt,356,0
shutti,339,0
shuttin,340,0
shutting,341,215000000
s,310,0
sh,281,0
shr,287,0
shru,295,0
shrug,317,0
shrugg,305,0
shrugge,336,0
shrugged,337,72200000
w,284,0
wo,288,0
won,291,0
wond,343,0
wonde,318,0
wonder,319,0
wondere,294,0
wondered,310,354000000
s,310,0
sw,282,0
swi,273,0
swin,266,0
swing,284,0
swingi,335,0
swingin,336,0
swinging,329,133000000
d,294,0
do,292,0
doc,280,0
doct,326,0
docto,332,0
doctor,333,0
doctore,321,0
doctored,347,18500000
s,310,0
sw,282,0
swe,304,0
swee,333,0
sweet,332,0
sweete,362,0
sweetes,323,0
sweetest,324,119000000
s,310,0
sh,281,0
sho,296,0
show,306,0
showe,305,0
shower,306,0
showere,294,0
showered,341,236000000
s,310,0
sh,281,0
sho,296,0
show,306,0
showi,335,0
showin,333,0
showing,334,0
showings,339,27500000
d,294,0
do,292,0
doo,317,0
door,329,0
doorw,269,0
doorwa,276,0
doorway,277,0
doorways,321,105000000
s,310,0
sh,281,0
sho,296,0
shou,353,0
shout,309,0
shouti,311,0
shoutin,312,0
shouting,313,262000000
w,284,0
wr,281,0
wro,251,0
wron,319,0
wrong,320,0
wrongi,280,0
wrongin,289,0
wronging,317,425000
s,310,0
sh,281,0
sho,296,0
shor,342,0
short,352,0
shorte,365,0
shortes,403,0
shortest,404,250000000
d,294,0
dr,286,0
dra,269,0
drag,312,0
dragg,288,0
draggi,317,0
draggin,318,0
dragging,305,203000000
s,310,0
sh,281,0
sho,296,0
shoo,304,0
shoot,305,0
shoote,325,0
shooter,326,0
shooters,322,230000000
d,294,0
dr,286,0
dra,269,0
draw,292,0
drawi,308,0
drawin,313,0
drawing,318,0
drawings,344,2300000000
a,309,0
ac,269,0
act,318,0
actu,310,0
actua,311,0
actual,300,0
actuall,328,0
actually,329,3260000000
d,294,0
dr,286,0
dre,282,0
drea,298,0
dream,325,0
dreami,349,0
dreamin,360,0
dreaming,361,215000000
a,309,0
av,302,0
avo,358,0
avoi,349,0
avoid,364,0
avoidi,318,0
avoidin,319,0
avoiding,320,3220000000
s,310,0
sh,281,0
shi,288,0
shit,333,0
shitt,331,0
shitti,208,0
shittin,101,0
shitting,72,66500000
s,310,0
sh,281,0
shi,288,0
shir,313,0
shirt,286,0
shirti,269,0
shirtin,280,0
shirting,313,11900000
s,310,0
sh,281,0
shi,288,0
ship,316,0
shipp,393,0
shippi,392,0
shippin,393,0
shipping,394,1710000000
d,294,0
dr,286,0
dri,295,0
drin,333,0
drink,334,0
drinki,368,0
drinkin,369,0
drinking,370,2810000000
d,294,0
dr,286,0
dri,295,0
drin,333,0
drink,334,0
drinke,257,0
drinker,287,0
drinkers,295,53800000
b,298,0
br,305,0
bra,302,0
brai,293,0
brain,294,0
braini,292,0
brainin,296,0
braining,305,271000000
s,310,0
sh,281,0
sha,294,0
shar,296,0
sharp,316,0
sharpe,320,0
sharpes,346,0
sharpest,362,26400000
d,294,0
dr,286,0
dri,295,0
driv,357,0
drivi,339,0
drivin,340,0
driving,341,0
drivings,312,128000
s,310,0
sh,281,0
sha,294,0
shar,296,0
sharp,315,0
sharpe,320,0
sharper,354,0
sharpers,294,312000
d,294,0
dr,286,0
dro,286,0
drop,297,0
dropp,292,0
droppi,319,0
droppin,320,0
dropping,319,2630000000
d,294,0
dr,286,0
dro,282,0
drop,297,0
dropp,292,0
droppe,316,0
dropper,321,0
droppers,313,47000000
s,310,0
sh,281,0
sha,292,0
shad,329,0
shado,323,0
shadow,354,0
shadowe,330,0
shadowed,357,91500000
s,310,0
su,290,0
sur,288,0
surf,318,0
surfa,336,0
surfac,337,0
surface,342,0
surfaced,310,116000000
w,284,0
wa,300,0
was,357,0
wash,381,0
washi,382,0
washin,383,0
washing,384,0
washings,383,5520000
s,310,0
se,299,0
set,301,0
sett,276,0
setti,328,0
settin,326,0
setting,327,0
settings,332,6160000000
s,310,0
se,299,0
ser,281,0
serv,302,0
servi,337,0
servic,338,0
service,339,0
services,401,8920000000
s,310,0
se,299,0
ser,281,0
serv,302,0
servi,337,0
servic,338,0
service,339,0
serviced,348,248000000
e,269,0
ea,270,0
ear,312,0
earl,388,0
earli,360,0
earlie,361,0
earlies,385,0
earliest,386,565000000
b,298,0
ba,310,0
bac,317,0
back,310,0
backi,328,0
backin,329,0
backing,330,0
backings,389,4660000
e,269,0
ea,270,0
ear,312,0
eart,311,0
earth,312,0
earthi,311,0
earthin,318,0
earthing,319,28100000
s,310,0
se,299,0
ser,281,0
serv,302,0
servi,337,0
servin,317,0
serving,318,0
servings,366,208000000
b,298,0
br,305,0
bra,302,0
bran,317,0
branc,341,0
branch,356,0
branche,379,0
branches,377,2000000000
b,298,0
br,305,0
bra,302,0
bran,317,0
branc,341,0
branch,356,0
branche,379,0
branched,358,227000000
s,310,0
se,299,0
sec,305,0
seco,376,0
secon,377,0
second,398,0
seconde,301,0
seconded,324,21200000
s,310,0
se,299,0
sea,293,0
seat,315,0
seati,371,0
seatin,372,0
seating,373,0
seatings,304,5120000
s,310,0
su,290,0
sur,288,0
surf,318,0
surfa,336,0
surfac,337,0
surface,342,0
surfaces,313,2020000000
s,310,0
se,299,0
sea,288,0
sear,322,0
searc,362,0
search,336,0
searche,307,0
searched,337,2170000000
s,310,0
se,299,0
sea,293,0
sear,312,0
searc,362,0
search,336,0
searche,307,0
searches,359,11870000000
w,284,0
wa,300,0
wal,298,0
walk,323,0
walki,349,0
walkin,362,0
walking,363,0
walkings,303,307000
s,310,0
sc,296,0
scr,273,0
scre,311,0
scree,394,0
screen,395,0
screene,300,0
screened,324,230000000
w,284,0
wa,300,0
wai,309,0
wait,310,0
waiti,331,0
waitin,332,0
waiting,333,0
waitings,296,123000
s,310,0
sc,296,0
scr,273,0
scre,310,0
screa,286,0
scream,287,0
screame,292,0
screamed,316,406000000
s,310,0
su,290,0
sup,305,0
supp,336,0
suppo,319,0
suppos,335,0
suppose,345,0
supposed,335,2110000000
e,269,0
em,283,0
emp,302,0
empt,335,0
empti,260,0
emptie,280,0
empties,309,0
emptiest,349,233000
e,269,0
em,283,0
emp,302,0
empt,335,0
empty,336,0
emptyi,334,0
emptyin,335,0
emptying,336,139000000
b,298,0
br,305,0
bre,324,0
brea,325,0
break,340,0
breaki,363,0
breakin,368,0
breaking,369,3840000000
b,298,0
br,322,0
bre,324,0
brea,325,0
break,344,0
breake,336,0
breaker,333,0
breakers,351,194000000
s,310,0
sc,308,0
sch,316,0
scho,328,0
schoo,342,0
school,343,0
schoole,304,0
schooled,325,32300000
e,269,0
en,330,0
enj,308,0
enjo,307,0
enjoy,308,0
enjoyi,336,0
enjoyin,337,0
enjoying,338,2030000000
e,269,0
en,330,0
enj,308,0
enjo,303,0
enjoy,308,0
enjoye,272,0
enjoyer,292,0
enjoyers,310,1910000
e,269,0
en,330,0
ent,338,0
ente,364,0
enter,356,0
enteri,358,0
enterin,338,0
entering,339,3860000000
r,273,0
ru,273,0
run,262,0
runn,322,0
runni,335,0
runnin,336,0
running,337,0
runnings,302,2560000000
b,298,0
br,322,0
bre,324,0
brea,325,0
breas,374,0
breast,375,0
breaste,292,0
breasted,292,209000000
r,273,0
ro,272,0
rou,301,0
roun,342,0
round,343,0
rounde,315,0
rounder,320,0
rounders,328,87300000
r,273,0
ro,272,0
rou,301,0
roun,342,0
round,343,0
roundi,396,0
roundin,397,0
rounding,398,375000000
s,310,0
su,289,0
sup,309,0
supp,336,0
suppo,289,0
suppos,338,0
suppose,345,0
supposes,310,10400000
e,269,0
ev,311,0
eve,326,0
ever,328,0
every,420,0
everyo,394,0
everyon,395,0
everyone,396,2340000000
v,258,0
vi,288,0
vis,339,0
visi,335,0
visit,319,0
visito,350,0
visitor,351,0
visitors,329,2520000000
v,258,0
vi,288,0
vis,339,0
visi,335,0
visit,319,0
visiti,367,0
visitin,368,0
visiting,369,2170000000
b,298,0
br,322,0
bre,324,0
brea,325,0
breat,357,0
breath,358,0
breathe,318,0
breathed,316,314000000
e,269,0
ex,314,0
exc,283,0
exce,322,0
excep,318,0
except,319,0
excepte,355,0
excepted,356,59800000
r,273,0
ro,272,0
roo,286,0
roof,306,0
roofi,362,0
roofin,374,0
roofing,375,0
roofings,307,1360000
e,269,0
ex,314,0
exc,283,0
exci,310,0
excit,310,0
exciti,339,0
excitin,340,0
exciting,341,1130000000
b,298,0
br,322,0
bre,324,0
brea,325,0
breat,357,0
breath,358,0
breathe,318,0
breathes,301,720000000
e,269,0
ex,314,0
exp,313,0
expe,319,0
expec,301,0
expect,302,0
expecte,386,0
expected,387,1650000000
r,273,0
ro,272,0
rol,335,0
roll,349,0
rolli,348,0
rollin,355,0
rolling,353,0
rollings,343,654000000
b,298,0
ba,310,0
ban,383,0
bank,400,0
banki,348,0
bankin,349,0
banking,350,0
bankings,295,669000
e,269,0
ex,314,0
exp,313,0
expl,289,0
expla,317,0
explai,332,0
explain,357,0
explains,400,4480000000
v,258,0
vi,288,0
vil,300,0
vill,301,0
villa,302,0
villag,339,0
village,310,0
villages,353,1570000000
b,298,0
br,322,0
bri,336,0
brid,336,0
bridg,335,0
bridgi,353,0
bridgin,345,0
bridging,346,250000000
v,258,0
vi,288,0
vie,327,0
view,310,0
viewi,330,0
viewin,331,0
viewing,332,0
viewings,308,14900000
b,298,0
br,322,0
bri,336,0
brig,319,0
brigh,311,0
bright,312,0
brighte,349,0
brighter,336,326000000
r,273,0
ri,298,0
rin,298,0
ring,299,0
ringi,323,0
ringin,324,0
ringing,325,0
ringings,294,72000
r,273,0
ri,298,0
rig,334,0
righ,337,0
right,338,0
righti,341,0
rightin,325,0
righting,346,10800000
s,310,0
su,294,0
sui,320,0
suit,319,0
suiti,312,0
suitin,301,0
suiting,302,0
suitings,385,2130000
b,298,0
br,322,0
bri,336,0
brin,324,0
bring,338,0
bringi,360,0
bringin,361,0
bringing,362,3270000000
r,273,0
re,291,0
rev,329,0
reve,314,0
revea,303,0
reveal,304,0
reveale,328,0
revealed,339,1740000000
b,298,0
br,322,0
bri,336,0
brin,324,0
bring,334,0
bringe,297,0
bringer,316,0
bringers,338,1320000
r,273,0
re,291,0
ret,305,0
retu,325,0
retur,326,0
return,327,0
returne,345,0
returned,353,4660000000
f,300,0
fa,294,0
fai,304,0
fail,308,0
faili,351,0
failin,352,0
failing,353,0
failings,361,49400000
r,273,0
re,291,0
rep,303,0
repl,306,0
repli,306,0
replie,290,0
replier,288,0
repliers,321,133000
r,273,0
re,291,0
rep,303,0
repl,306,0
reply,299,0
replyi,376,0
replyin,377,0
replying,378,260000000
r,273,0
re,291,0
rep,303,0
repe,281,0
repea,318,0
repeat,294,0
repeate,342,0
repeated,370,1020000000
b,298,0
br,322,0
bro,292,0
brot,332,0
broth,343,0
brothe,344,0
brother,372,0
brothers,344,1910000000
w,284,0
wi,292,0
win,303,0
wint,352,0
winte,357,0
winter,358,0
wintere,294,0
wintered,284,1880000
f,300,0
fa,294,0
fam,307,0
fami,308,0
famil,339,0
famili,323,0
familie,391,0
families,403,5870000000
s,310,0
su,290,0
sug,306,0
sugg,306,0
sugge,312,0
sugges,313,0
suggest,314,0
suggests,345,2150000000
f,300,0
fa,294,0
far,304,0
fart,293,0
farth,337,0
farthe,349,0
farthes,365,0
farthest,366,91300000
f,300,0
fu,255,0
fur,315,0
furt,316,0
furth,341,0
furthe,337,0
furthes,355,0
furthest,356,71900000
f,300,0
fa,294,0
fat,328,0
fath,324,0
fathe,338,0
father,339,0
fathere,306,0
fathered,321,13500000
r,307,0
re,291,0
rem,320,0
remo,334,0
remov,388,0
removi,358,0
removin,359,0
removing,360,3690000000
r,273,0
re,291,0
rem,320,0
remi,284,0
remin,308,0
remind,336,0
reminde,370,0
reminded,319,497000000
a,299,0
al,286,0
all,340,0
allo,279,0
allow,320,0
allowi,318,0
allowin,319,0
allowing,330,4380000000
s,310,0
su,290,0
sud,285,0
sudd,323,0
sudde,324,0
sudden,325,0
suddenl,335,0
suddenly,335,1060000000
a,299,0
al,286,0
all,346,0
allo,279,0
allow,320,0
allowe,272,0
allower,304,0
allowers,376,37700
f,300,0
fe,329,0
fee,315,0
feed,323,0
feedi,364,0
feedin,365,0
feeding,366,0
feedings,353,9830000
b,298,0
bu,285,0
bui,344,0
buil,326,0
build,334,0
builde,362,0
builder,363,0
builders,381,573000000
b,298,0
bu,285,0
bur,306,0
burn,294,0
burni,331,0
burnin,332,0
burning,333,0
burnings,296,43700000
f,300,0
fe,329,0
fee,322,0
feel,306,0
feeli,342,0
feelin,343,0
feeling,371,0
feelings,363,2240000000
r,273,0
re,291,0
rem,320,0
rema,343,0
remai,353,0
remain,354,0
remaine,298,0
remained,315,736000000
r,273,0
re,291,0
ref,286,0
refu,306,0
refus,328,0
refusi,406,0
refusin,417,0
refusing,418,1180000000
s,310,0
st,290,0
stu,297,0
stup,285,0
stupi,304,0
stupid,305,0
stupide,305,0
stupider,324,2060000
w,284,0
wi,292,0
win,303,0
wind,341,0
windi,270,0
windin,329,0
winding,330,0
windings,360,159000000
a,299,0
al,286,0
alt,301,0
alth,298,0
altho,310,0
althou,334,0
althoug,337,0
although,338,2520000000
s,310,0
st,290,0
stu,297,0
stud,349,0
study,318,0
studyi,340,0
studyin,349,0
studying,380,1030000000
b,298,0
bu,285,0
bus,302,0
busi,380,0
busin,381,0
busine,412,0
busines,383,0
business,384,4870000000
a,305,0
an,303,0
ang,307,0
angr,293,0
angri,272,0
angrie,325,0
angries,326,0
angriest,327,3500000
f,300,0
fi,302,0
fig,334,0
figh,321,0
fight,322,0
fighte,332,0
fighter,333,0
fighters,339,825000000
s,310,0
st,290,0
stu,297,0
stud,349,0
stude,376,0
studen,373,0
student,378,0
students,393,2910000000
r,273,0
re,291,0
rec,300,0
rece,313,0
recei,294,0
receiv,340,0
receive,330,0
received,373,2610000000
t,272,0
tw,281,0
twe,306,0
twen,346,0
twent,363,0
twenti,302,0
twentie,307,0
twenties,285,108000000
r,289,0
re,291,0
rec,300,0
rece,313,0
recei,324,0
receiv,340,0
receive,330,0
receives,417,3410000000
f,300,0
fi,302,0
fil,250,0
fill,321,0
filli,285,0
fillin,350,0
filling,351,0
fillings,364,1250000000
r,273,0
re,291,0
rea,299,0
reas,311,0
reaso,332,0
reason,373,0
reasone,304,0
reasoned,334,505000000
f,300,0
fi,302,0
fin,341,0
find,335,0
findi,362,0
findin,363,0
finding,364,0
findings,331,2460000000
s,310,0
st,290,0
str,341,0
stro,295,0
stron,339,0
strong,344,0
stronge,399,0
stronger,367,870000000
t,272,0
tu,294,0
tur,279,0
turn,295,0
turni,321,0
turnin,364,0
turning,360,0
turnings,334,3000000
r,273,0
re,291,0
rea,299,0
real,351,0
reali,300,0
realiz,307,0
realize,321,0
realizes,308,969000000
r,289,0
re,291,0
rea,299,0
real,351,0
reali,300,0
realiz,307,0
realize,321,0
realized,366,1020000000
r,289,0
re,291,0
rea,299,0
read,303,0
readi,332,0
readie,271,0
readies,313,0
readiest,328,466000
f,300,0
fi,302,0
fin,341,0
fing,336,0
finge,337,0
finger,338,0
fingere,277,0
fingered,309,193000000
r,289,0
re,291,0
rea,299,0
read,303,0
ready,309,0
readyi,280,0
readyin,325,0
readying,329,19600000
t,272,0
tr,318,0
tru,287,0
trus,329,0
trust,330,0
truste,376,0
truster,283,0
trusters,344,197000
f,300,0
fi,302,0
fin,341,0
fini,303,0
finis,314,0
finish,315,0
finishe,327,0
finishes,317,1530000000
t,272,0
tr,318,0
tru,287,0
trus,329,0
trust,330,0
trusti,328,0
trustin,346,0
trusting,347,122000000
f,300,0
fi,302,0
fin,341,0
fini,303,0
finis,314,0
finish,315,0
finishe,327,0
finished,352,2070000000
r,289,0
re,291,0
rea,299,0
read,303,0
readi,332,0
readin,333,0
reading,334,0
readings,358,3130000000
r,289,0
re,291,0
rea,299,0
reac,320,0
reach,339,0
reache,329,0
reacher,337,0
reachers,322,29200000
r,289,0
re,291,0
rea,299,0
reac,320,0
reach,339,0
reachi,353,0
reachin,354,0
reaching,355,1450000000
q,274,0
qu,295,0
qui,289,0
quie,292,0
quiet,322,0
quiete,317,0
quieter,307,0
quieters,320,9840
q,274,0
qu,295,0
qui,289,0
quie,292,0
quiet,322,0
quiete,317,0
quietes,335,0
quietest,336,107000000
q,274,0
qu,295,0
qui,289,0
quie,292,0
quiet,322,0
quieti,301,0
quietin,295,0
quieting,301,4050000
f,300,0
fi,302,0
fit,303,0
fitt,289,0
fitti,334,0
fittin,339,0
fitting,340,0
fittings,329,519000000
q,274,0
qu,291,0
qui,285,0
quic,327,0
quick,342,0
quicke,356,0
quickes,401,0
quickest,402,536000000
w,284,0
wr,285,0
wri,325,0
writ,312,0
writi,339,0
writin,340,0
writing,341,0
writings,368,3870000000
b,298,0
be,275,0
bea,278,0
beac,310,0
beach,321,0
beachi,279,0
beachin,281,0
beaching,294,3560000
c,265,0
ca,306,0
cal,295,0
call,329,0
calli,338,0
callin,340,0
calling,328,0
callings,334,7180000
b,298,0
be,275,0
bea,278,0
beat,249,0
beati,303,0
beatin,355,0
beating,356,0
beatings,351,576000000
a,303,0
an,301,0
ans,299,0
answ,349,0
answe,350,0
answer,351,0
answere,315,0
answered,350,8300000000
f,300,0
fl,303,0
fla,288,0
flat,295,0
flatt,314,0
flatte,309,0
flattes,325,0
flattest,326,4900000
f,300,0
fl,303,0
fla,288,0
flat,295,0
flatt,314,0
flatti,276,0
flattin,292,0
flatting,293,4380000
f,300,0
fl,303,0
fli,306,0
flig,325,0
fligh,350,0
flight,327,0
flighte,258,0
flighted,311,1320000
t,272,0
tr,318,0
tro,280,0
trou,301,0
troub,331,0
troubl,351,0
trouble,352,0
troubled,373,201000000
f,300,0
fl,303,0
flo,336,0
flow,351,0
flowe,352,0
flower,353,0
flowere,313,0
flowered,299,32400000
p,288,0
pu,308,0
pul,330,0
pull,307,0
pulli,338,0
pullin,339,0
pulling,340,0
pullings,361,249000
s,310,0
st,290,0
sto,303,0
stor,311,0
storm,307,0
stormi,369,0
stormin,420,0
storming,424,121000000
c,265,0
co,284,0
cou,291,0
coul,325,0
could,386,0
couldn,435,0
couldn-,441,0
couldn-t,442,809000000
p,288,0
pr,333,0
pro,303,0
prom,319,0
promi,339,0
promis,367,0
promise,343,0
promised,341,859000000
p,288,0
pr,333,0
pro,303,0
prom,319,0
promi,339,0
promis,337,0
promise,343,0
promises,388,1510000000
c,265,0
co,284,0
cou,291,0
coul,325,0
could,359,0
couldn,435,0
couldn-,431,0
couldn-t,432,885000000
f,300,0
fo,262,0
fol,281,0
foll,332,0
follo,339,0
follow,340,0
followe,352,0
followed,343,3090000000
s,310,0
st,290,0
sto,303,0
stop,333,0
stopp,300,0
stoppe,313,0
stopper,289,0
stoppers,378,252000000
p,288,0
pr,333,0
pro,303,0
prob,318,0
probl,337,0
proble,338,0
problem,339,0
problems,389,8930000000
p,288,0
pr,333,0
pro,303,0
prob,318,0
proba,331,0
probab,383,0
probabl,377,0
probably,323,2260000000
p,288,0
pr,333,0
pre,363,0
pret,322,0
prett,334,0
pretti,365,0
prettie,366,0
prettier,336,42600000
s,310,0
st,290,0
sto,303,0
stop,306,0
stopp,300,0
stoppi,379,0
stoppin,380,0
stopping,381,2270000000
p,288,0
pr,333,0
pre,363,0
pret,322,0
prete,356,0
preten,315,0
pretend,315,0
pretends,337,333000000
s,310,0
st,306,0
sto,303,0
stom,317,0
stoma,322,0
stomac,328,0
stomach,329,0
stomachs,347,40200000
t,272,0
tr,318,0
tro,280,0
trou,301,0
troub,334,0
troubl,351,0
trouble,352,0
troubles,365,1560000000
p,288,0
pr,333,0
pre,363,0
pres,323,0
press,343,0
presse,335,0
presser,300,0
pressers,310,1870000
t,272,0
tr,318,0
tri,335,0
trip,307,0
tripp,273,0
trippi,350,0
trippin,326,0
tripping,340,148000000
s,310,0
st,306,0
sti,332,0
stic,290,0
stick,295,0
sticke,338,0
sticker,339,0
stickers,345,492000000
f,300,0
fo,262,0
for,319,0
fore,325,0
fores,289,0
forest,285,0
foreste,360,0
forested,305,74200000
w,284,0
wh,316,0
whi,314,0
whis,309,0
whisp,308,0
whispe,337,0
whisper,338,0
whispers,338,257000000
c,265,0
ca,306,0
car,302,0
carr,324,0
carry,330,0
carryi,394,0
carryin,395,0
carrying,396,5230000000
s,310,0
st,290,0
sti,332,0
stic,290,0
stick,295,0
sticki,311,0
stickin,320,0
sticking,336,1400000000
c,265,0
ca,306,0
car,228,0
carr,324,0
carri,322,0
carrie,255,0
carrier,341,0
carriers,331,1100000000
s,310,0
st,223,0
ste,291,0
step,343,0
stepp,319,0
steppi,395,0
steppin,396,0
stepping,391,304000000
s,310,0
st,290,0
ste,291,0
stea,299,0
steal,304,0
steale,340,0
stealer,341,0
stealers,357,38400000
f,300,0
fo,262,0
for,315,0
forw,351,0
forwa,352,0
forwar,353,0
forward,354,0
forwards,319,5200000000
s,310,0
st,223,0
ste,291,0
stea,299,0
steal,304,0
steali,320,0
stealin,321,0
stealing,322,535000000
b,298,0
be,275,0
bec,285,0
beco,345,0
becom,346,0
